http://dbpedia.org/ontology/SportsTeamMember,http://dbpedia.org/ontology/squadNumber
2000–01 Manchester City F.C. season,34
List of Bulgarian football transfers winter 2010–11,17
List of Chinese football transfers winter 2011,1
2010 Rochester Rhinos season,5
West Ham United FC in het seizoen 2010/11,18
List of Hungarian football transfers winter 2011–12,57
List of Bosnian football transfers winter 2013–14,22
List of Maltese football transfers summer 2012,10
Convocazioni per la Coppa del mondo per club FIFA 2008,4
List of German football transfers summer 2013,38
List of Russian football transfers winter 2010–11,75
2013–14 C.F. União season,5
2010–11 Tigres UANL season,4
List of Bulgarian football transfers winter 2013–14,75
2009 Carolina RailHawks FC season,6
2010 FIFA Club World Cup squads,31
List of French football transfers summer 2013,8
2010–11 Club América season,30
List of Cypriot football transfers winter 2011–12,101
Michigan Wolverines men's soccer,14
List of Serbian football transfers winter 2011–12,11
Convocazioni per la Coppa del mondo per club FIFA 2012,33
List of Latvian football transfers winter 2011–12,15
List of Iranian football transfers summer 2011,13
2005 South Carolina Gamecocks men's soccer team,12
List of Maltese football transfers summer 2008,36
2014–15 UEFA Youth League squads,25
List of Chinese football transfers winter 2014,11
Sliema Hotsticks Hockey Club,14
2013–14 Valenciennes FC season,22
West Ham United FC in het seizoen 2012/13,41
List of Iranian football transfers winter 2013–14,21
2013年中国足球冬季转会列表,44
List of Bulgarian football transfers summer 2010,85
List of Mexican football transfers summer 2010,27
1982 CIS Men's Soccer Championship,14
List of Hungarian football transfers summer 2012,33
List of Uzbek football transfers 2010,31
List of Hungarian football transfers winter 2011–12,35
2013–14 UEFA Youth League squads,18
List of Belgian football transfers summer 2014,25
2012 Wake Forest Demon Deacons men's soccer team,12
2007 CIS Men's Soccer Championship,10
Akron Zips men's soccer,15
2006 FIFA Club World Cup squads,18
List of German football transfers winter 2008–09,20
2008 FIFA Club World Cup squads,14
List of Hungarian football transfers summer 2010,79
List of Serbian football transfers winter 2013–14,18
List of Maltese football transfers summer 2009,18
List of Latvian football transfers summer 2012,36
List of Russian football transfers summer 2013,41
Manchester City Football Club 2000-2001,31
2006 South Carolina Gamecocks men's Soccer Team,4
2014–15 UEFA Youth League squads,80
List of Russian football transfers summer 2013,35
Convocazioni per la Coppa del mondo per club FIFA 2010,5
2003–04 Fulham F.C. season,21
UC Santa Barbara Gauchos men's soccer,9
