http://dbpedia.org/ontology/TelevisionShow,http://dbpedia.org/ontology/capacity
ČD Class 810,54
ICE 1,62
CFL Class 2200,318
ICE 1,701
ICE-1列車,25
ICE 1,25
ICE-1列車,47
RATP-Baureihe MS 61,282
TCDD HT65000,363
ICE 1,50
CAF Hizlitren,405
Treno Servizio Regionale,105
Locomotiva DB 401,707
RATP MS 61,82
ICE 1,25
SJ Y6,36
SL X1,179
ATM Class 4600 and 4700,145
Tram ATM serie 4900,61
ICE 1,66
SJ X16,58
ICE 1,38
Locomotiva DB 401,15
CFL 2300,26
ACMU,135
ICE 1,24
ICE 1,48
Рельсовый автобус серии 810,38
M1/M3 (railcar),110
ICE 1,22
Baureihe 401,51
ICE 1,16
CSR EMU (Argentina),69
