http://dbpedia.org/ontology/Location,http://dbpedia.org/ontology/areaWater
Carson City,33669800.0
"Municipio de Stockton (condado de Greene, Indiana)",1605790.0
"Municipio de Blackwater (condado de Cooper, Misuri)",958296.0
Magangué,525000000.0
Grand Rapids (Michigan),2253290.0
"Crystal Mountain, Michigan",20000.0
"Gmina Jefferson (hrabstwo Fayette, Iowa)",233099.0
Portland,30000000.0
"Washington Township, Morgan County, Indiana",3910880.0
"Municipio de Clear Lake (condado de Steuben, Indiana)",3988580.0
Prado del Rey,0.0
Shanghai,697000000.0
"Hubbard Township, Trumbull County, Ohio",258999.0
Bronx,38849800.0
Municipio de Guilford (Indiana),340000.0
"Le Roy Township, Coffey County, Kansas",210000.0
Bloomfield Township (Indiana),699297.0
Paris (Teksas),4402980.0
"Whitewater Township (Cape Girardeau County, Missouri)",130000.0
"Municipio de Pleasant (condado de Coffey, Kansas)",18363000.0
"Pleasant Hills, Ohio",0.0
Sea Ranch (California),108780.0
"Union City Township, Allamakee County, Iowa",51799.8
"Sitka Township, Clark County, Kansas",2123790.0
"Blanco, New Mexico",473968.0
"Independence Township, Washington County, Ohio",0.0
"Municipio de Greer (condado de Warrick, Indiana)",958296.0
"Municipio de Root (condado de Adams, Indiana)",310799.0
يوجين (أوريغون),51799.8
"Municipio de Polk (condado de Huntington, Indiana)",3496480.0
"Genoa Township, DeKalb County, Illinois",233099.0
Ann Arbor,2253290.0
Fort Wayne (Indiana),540000.0
"Cotton Township, Switzerland County, Indiana",155399.0
إيجان,5982870.0
Reader (Virginia Occidental),44029.8
"Creston, California",12949.9
Double Spring,0.0
"Kane Township, Benton County, Iowa",0.0
"Municipio de Auxvasse (condado de Callaway, Misuri)",4377080.0
"Kiheka Township, Camden County, Missouri",1320000.0
Lupton (Arizona),0.0
ネバダ州,1971000000.0
Fairmount,0.0
"Jackson Township, Clinton County, Indiana",0.0
"Hooper Township, Dodge County, Nebraska",1683490.0
Chicago,17870900.0
Gmina Lakeville (Iowa),12613200.0
"Municipio de Udell (condado de Appanoose, Iowa)",1120000.0
"North Fork Township, Delaware County, Iowa",130000.0
"Quantico, Virginia",0.0
Rhode Island (staat),437708000.0
"Elbert County, Colorado",517998.0
"Rhea's Mill Township, Washington County, Arkansas",517998.0
Illinois,5981000000.0
Mombasa County,65000000.0
"Lyon Township, Cherokee County, Kansas",110000.0
ماريلاند,6819000000.0
"Rama, Saskatchewan",16575.9
Beaverdam (Nevada),0.0
"Municipio de Carl (condado de Adams, Iowa)",470000.0
"Municipio de Washington (condado de Appanoose, Iowa)",180000.0
Gmina Iowa (hrabstwo Allamakee),7251970.0
"Longmeadow, Massachusetts",1200000.0
Montana,3862000000.0
コロンバス (オハイオ州),15380000.0
Veselí nad Moravou,2080000.0
"Municipio de Hampden (condado de Coffey, Kansas)",20230000.0
Goshen (Indiana),930000.0
Bridgton (Maine),19295400.0
"Municipio de Colfax (condado de Atchison, Misuri)",50000.0
埃伦斯堡 (华盛顿州),130000.0
Fort Edward (villa),258999.0
"Grand River Township, Adair County, Iowa",258999.0
Van Buren (Maine),2797190.0
"Inland, Nebraska",0.0
غاري (ولاية إنديانا),18932800.0
"Pueblo, Colorado",800000.0
Колумбус (Огайо),15384500.0
"Municipio de Rockcreek (condado de Wells, Indiana)",880596.0
"Municipio de Platte (condado de Buffalo, Nebraska)",5749770.0
"Nottingham Township, Wells County, Indiana",103600.0
"Coal Creek (Contea di Fremont, Colorado)",0.0
"Oxford Township, Erie County, Ohio",258999.0
Los Osos,53000.0
Bell Canyon,0.0
"Bourbon Township, Callaway County, Missouri",1270000.0
Nevada,1971000000.0
"Groveland, California",15000.0
リンカーン (ネブラスカ州),3510000.0
"Ivalee, Alabama",0.0
"Municipio de Cliff (condado de Custer, Nebraska)",10000.0
Pahrump,0.0
"Palm Springs, California",2224800.0
Eagan (Minnesota),5980000.0
Бейкер (Невада),0.0
"Shawnee Township (Cape Girardeau County, Missouri)",5154080.0
"Municipio de Bogard (condado de Daviess, Indiana)",802896.0
Dhahran,0.0
Bucksport (Maine),12920000.0
"Municipio de Estherville (condado de Emmet, Iowa)",880596.0
"Municipio de Liberty (condado de Hancock, Iowa)",130000.0
Enterprise (West Virginia),0.0
"Lynch Township, Boyd County, Nebraska",1631690.0
"Victoria Township, Cass County, Iowa",60000.0
Littlefield (Arizona),0.0
Kentucky,1764000000.0
Municipio de Young America (Illinois),0.0
Barnstable,42800000.0
"Pinopolis, South Carolina",0.0
プレザントバレー郡区 (アイオワ州キャロル郡),77699.6
Hamilton (Ontario),21000000.0
"Dover (condado de Norfolk, Massachusetts)",0.0
Gmina Dodge (hrabstwo Boone),569797.0
"Independence Township, Washington County, Ohio",100000.0
Gambrills (Maryland),2200000.0
"Kennedy Meadows, California",0.0
East Tulare Villa,0.0
Бриджпорт (Коннектикут),8800000.0
"Municipio de Blanchard (condado de Hancock, Ohio)",0.0
"Broomes Island, Maryland",20000.0
スプリングクリーク郡区 (アイオワ州ブラックホーク郡),1061900.0
奧丁 (堪薩斯州),0.0
