http://dbpedia.org/ontology/Weapon,http://dbpedia.org/ontology/length
MICA,3.1
MBDA MICA,3.1
MICA,3.1
MICA (missile),3.1
MICA (ミサイル),3.1
MBDA MICA,3.1
MICA,3.1
雲母飛彈,3.1
16式機動戦闘車,8.45
MCV,8.45
機動戰鬥車,8.45
Maneuver Combat Vehicle,8.45
Massive Ordnance Penetrator,6.2484
Massive Ordnance Penetrator,6.2484
GBU-57,6.2484
GBU-57 A/B,6.2484
大型貫通爆弾,6.2484
GBU-57,6.2484
Massive Ordnance Penetrator,6.2484
GBU-57,6.2484
巨型钻地弹,6.2484
ماكميلان تاك-50,1.4478
McMillan Tac-50,1.4478
McMillan Tac-50,1.4478
McMillan Tac-50,1.4478
McMillan Tac-50,1.4478
McMillan Tac-50,1.4478
Karabin McMillan TAC-50,1.4478
McMillan TAC-50,1.4478
TAC-50狙擊步槍,1.4478
Pistolet maszynowy Mekanika Uru,0.671
Mekanika URU,0.671
Mekanika Uru,0.671
Nora B-52,11.0
Nora B-52,11.0
ノーラ B-52,11.0
155-мм самоходная гаубица Б52,11.0
O-I,10.0
O-I,10.0
O-I,10.0
オイ車,10.0
O-I,10.0
О-И (танк),10.0
O-I超重型坦克,10.0
OT-62 TOPAS,7.1
OT-62 TOPAS,7.1
TOPAS,7.1
OT-62 TOPAS,7.1
OT-62,7.1
أو تي-64 سكوت,7.44
OT-64 SKOT,7.44
OT-64 SKOT,7.44
OT-64,7.44
OT-64 SKOT,7.44
OT-64装甲兵員輸送車,7.44
SKOT,7.44
OT-64 SKOT,7.44
OT-64 SKOT,7.44
オサー,0.044958
Оса (оружие),0.044958
Osa (handgun),0.044958
PGM-11 Redstone,21.1226
Redstone (Rakete),21.1226
PGM-11 Redstone,21.1226
PGM-11 Redstone,21.1226
PGM-11 (ミサイル),21.1226
SSM-A-14 Redstone,21.1226
Редстоун (ракеты),21.1226
PGM-11 Redstone,21.1226
PGM-11紅石飛彈,21.1226
PGM-17 Thor,19.5072
Thor (missile balistique),19.5072
PGM-17 (ミサイル),19.5072
PGM-17 Thor,19.5072
PGM-17 Thor,19.5072
PGM-17雷神导弹,19.5072
PPS-43,0.907
PPS-43,0.907
PPS-43,0.907
PPS (mitra),0.907
PPS短機関銃,0.907
Pistolet maszynowy PPS,0.907
PPS (pistoolmitrailleur),0.907
PPS-43,0.907
Пистолет-пулемёт Судаева,0.907
PPS衝鋒槍,0.907
PPS submachine gun,0.907
مسدس رشاش PPSH-41,0.843
PPSch-41,0.843
PPSh-41,0.843
PPSh-41,0.843
PPSh-41,0.843
PPSh-41,0.843
PPSh-41,0.843
PPSj-41,0.843
Pistolet maszynowy PPSz,0.843
PPSh-41,0.843
Пистолет-пулемёт Шпагина,0.843
PPSh-41冲锋枪,0.843
بنهارد إيه إم إل,5.11
Panhard AML,5.11
Panhard AML,5.11
Panhard AML,5.11
Panhard AML 60,5.11
Panhard AML,5.11
AML装甲車,5.11
Panhard AML,5.11
Panhard AML,5.11
Panhard AML,5.11
Patria AMV,7.7
Patria AMV,7.7
Patria AMV,7.7
Patria AMV,7.7
パトリアAMV,7.7
Patria AMV,7.7
Patria AMV,7.7
Penguin (missile),3.0
AGM-119 Penguin,3.0
Rb 12 Penguin,3.0
Kongsberg Penguin,3.0
Penguin (missile),3.0
ペンギン (ミサイル),3.0
Penguin,3.0
Penguin (ракета),3.0
AGM-119企鵝反艦飛彈,3.0
Petit Véhicule Protégé,4.599
Petit Véhicule Protégé,4.599
Petit véhicule protégé,4.599
Panhard PVP,4.599
PVP (бронетранспортёр),4.599
QW-1 Vanguard,1.447
QW-1 Vanguard,1.447
QW-1 (ミサイル),1.447
前衛系列便攜式防空導彈,1.447
Rifleman's Assault Weapon,0.305
Брунсвик RAW,0.305
Rifleman's Assault Weapon,0.305
Ross rifle,1.32
Ross-Gewehr,1.32
Fusil Ross,1.32
Ross Mark III,1.32
Rotem KW1 Scorpion,6.6
أس-75 دفينا,10.6
S-75,10.6
S-75 Dvina,10.6
S-75 Dvina,10.6
S-75 Dvina,10.6
S-75,10.6
S-75 (ミサイル),10.6
S-75,10.6
С-75,10.6
S-75 Dvina,10.6
S-75导弹,10.6
صاروخ سوم,3.657
SOM (Marschflugkörper),3.657
SOM (raket),3.657
SOM (ракета),3.657
SOM (missile),3.657
SPYDER,3.1
SPYDER,3.1
Spyder (missile),3.1
SPYDER 地対空ミサイルシステム,3.1
Spyder,3.1
SSM-N-8 Regulus,9.7536
SSM-N-8A Regulus,9.7536
SSM-N-8A Regulus,9.7536
RGM-6 Regulus,9.7536
SSM-N-8A Regulus,9.7536
レギュラス (ミサイル),9.7536
SSM-N-8 Regulus I,9.7536
SSM-N-8 Regulus,9.7536
RGM-6飛彈,9.7536
SSM-N-9 Regulus II,17.3736
RGM-15导弹,17.3736
SSM-N-9 Regulus II,17.3736
شنايدر سي ايه 1,6.32
Schneider CA1,6.32
Schneider CA1,6.32
Schneider CA1,6.32
Char Schneider CA1,6.32
Schneider CA1,6.32
シュナイダーCA1,6.32
Schneider (tank),6.32
Schneider C.A.1,6.32
Schneider CA1,6.32
CA-1 Шнейдер,6.32
施耐德CA1坦克,6.32
Anti-navire léger,2.5
Sea Venom (missile),2.5
Sentinel tank,6.096
AC-1 Sentinel,6.096
Sentinel (carro armato),6.096
Sentinel (char),6.096
センチネル巡航戦車,6.096
Sentinel (czołg),6.096
Sentinel Mk I (AC1),6.096
Сентинел (танк),6.096
Mk.I哨兵巡航坦克,6.096
Sexton (artillery),6.1214
Sexton,6.1214
Sexton (semovente),6.1214
Sexton (artillerie),6.1214
セクストン自走砲,6.1214
Sexton (artillerie),6.1214
Sexton,6.1214
Sexton,6.1214
司事式自行火炮,6.1214
Sherman Firefly,5.7912
Sherman Firefly,5.7912
Sherman Firefly,5.7912
Sherman Firefly,5.7912
Sherman Firefly,5.7912
シャーマン ファイアフライ,5.7912
Sherman Firefly,5.7912
Sherman Firefly,5.7912
Sherman Firefly,5.7912
Sherman Firefly,5.7912
雪曼螢火蟲坦克,5.7912
Snatch Land Rover,4.55
Снэтч,4.55
Sprint (missile),8.2
Sprint (Rakete),8.2
Sprint (missile),8.2
Sprint (armement),8.2
スプリント (ミサイル),8.2
Sprint (pocisk),8.2
Спринт (ракета),8.2
Karabinek Starra,0.9525
Starr carbine,0.9525
Starr revolver,0.3048
شتاير تي ام بي,0.282
Steyr TMP,0.282
Steyr TMP,0.282
Steyr TMP,0.282
Steyr TMP,0.282
Steyr TMP,0.282
ステアーTMP,0.282
Pistolet maszynowy Steyr TMP,0.282
Steyr TMP,0.282
斯泰爾TMP衝鋒槍,0.282
Gurkha LAPV,6.2992
Terradyne Armored Vehicles Gurkha,6.2992
Armet Armored Vehicles Gurkha,6.2992
Armet (VBCI),6.2992
دبابة النمر 1,6.316
Panzerkampfwagen VI Tiger,6.316
Panzer VI Tiger,6.316
Panzerkampfwagen VI Tiger,6.316
Panzer VI Tiger I,6.316
ティーガーI,6.316
Tiger I,6.316
Panzerkampfwagen VI Tiger,6.316
Panzerkampfwagen VI Tiger,6.316
Тигр (танк),6.316
虎I戰車,6.316
Tiger I,6.316
Tiger II,7.38
دبابة النمر 2,7.38
Panzerkampfwagen VI Tiger II,7.38
Panzer VI Tiger Ausf. B,7.38
Panzerkampfwagen VI Königstiger,7.38
Panzer VI Tiger II,7.38
ティーガーII,7.38
Tiger II,7.38
Panzerkampfwagen VI B Königstiger,7.38
Panzerkampfwagen VI Tiger II,7.38
Тигр II,7.38
虎II坦克,7.38
Type 88 Surface-to-Ship Missile,5.08
88式地対艦誘導弾,5.08
88式陸基反艦飛彈,5.08
Type 90 Ship-to-Ship Missile,5.08
90式艦対艦誘導弾,5.08
Тип 90 (противокорабельная ракета),5.08
90式反艦飛彈,5.08
في بي-6 فيليكس,2.31648
VB-6 フェリックス,2.31648
VB-6 Felix,2.31648
VB-6 Felix,2.31648
Walther PP,0.17
Walther PP,0.17
Walther PP,0.17
ワルサーPP,0.17
"Walther PP, PPK en PPK/S",0.17
Pistolet Walther PP,0.17
Walther PP,0.17
瓦爾特PP手槍,0.17
Walther PPS,0.1605
Walther PPS,0.1605
Walther PPS,0.1605
Walther PPS,0.1605
Walther PPS,0.1605
ワルサーPPS,0.1605
Pistolet Walther PPS,0.1605
瓦爾特PPS手槍,0.1605
Granatnik Wasp 58,0.8
Wasp 58,0.8
ZT3 Ingwe,1.75
Ingwe (pocisk),1.75
BGM-109G Ground Launched Cruise Missile,5.56
BGM-109G Gryphon,5.56
BGM-109G GLCM,5.56
HMS Guardian (1784),42.672
"Guardian (Schiff, 1784)",42.672
R-21 (missile),13.0
R-21 (Rakete),13.0
R-21 (misil),13.0
R-21,13.0
R-21,13.0
Р-21,13.0
AK-74,0.943
إيه كيه-74,0.943
AK-74,0.943
AK-74,0.943
AK-74,0.943
AK-74,0.943
AK-74,0.943
AK-74,0.943
Karabinek AK-74,0.943
AK-74,0.943
АК74,0.943
AK-74突击步枪,0.943
C-4 (explosive),0.2794
سي فور,0.2794
C4 (Sprengstoff),0.2794
C-4,0.2794
Composition C-4,0.2794
C-4 (esplosivo),0.2794
C-4 (explosief),0.2794
C-4 (爆薬),0.2794
C4,0.2794
C-4,0.2794
C-4 (взрывчатое вещество),0.2794
C4炸药,0.2794
Luger pistol,0.222
لوجر (مسدس),0.222
Pistole 08,0.222
Pistola Parabellum,0.222
Luger P08,0.222
Luger P08,0.222
ルガーP08,0.222
Luger P08,0.222
Pistolet P08 Parabellum,0.222
Luger P08,0.222
Пистолет Люгера,0.222
魯格手槍,0.222
Mosin–Nagant,1.232
موسين (بندقية),1.232
Mosin-Nagant,1.232
Mosin-Nagant,1.232
Mosin-Nagant,1.232
Mosin-Nagant,1.232
モシン・ナガン,1.232
Mosin-Nagant,1.232
Karabin Mosin,1.232
Mosin-Nagant,1.232
Винтовка Мосина,1.232
莫辛-納甘步槍,1.232
إيه جي إم-154,4.064
AGM-154 Joint Standoff Weapon,4.064
AGM-154 Joint Standoff Weapon,4.064
AGM-154 JSOW,4.064
AGM-154 Joint Standoff Weapon,4.064
AGM-154 Joint Standoff Weapon,4.064
AGM-154 JSOW,4.064
AGM-154 JSOW,4.064
AGM-154 Joint Standoff Weapon,4.064
JSOW,4.064
AGM-154联合战区外武器,4.064
155 mm Creusot Long Tom,7.5
AGM-129 ACM,6.35
AGM-129 ACM,6.35
AGM-129 ACM,6.35
AGM-129A ACM,6.35
AGM-129 ACM,6.35
ACM (ミサイル),6.35
AGM-129 ACM,6.35
AGM-129 ACM,6.35
AGM-129 ACM,6.35
بي إم-30 سميرتش,12.0
BM-30,12.0
BM-30,12.0
BM-30 Smerch,12.0
Smerch,12.0
BM-30 Smerch,12.0
BM-30,12.0
BM-30 Smiercz,12.0
Смерч (РСЗО),12.0
BM-30火箭炮,12.0
Bren Ten,0.22225
Bren Ten,0.22225
Bren Ten,0.22225
ブレン・テン,0.22225
Pistolet Bren Ten,0.22225
جولان (عربة مدرعة),5.9
Golan Armored Vehicle,5.9
Golan Armored Vehicle,5.9
Golan (véhicule),5.9
HMS Lyme (1748),35.6616
HMS Pelican (1777),34.7472
هيسبانو-سويزا إتش إس.404,2.52
Hispano-Suiza HS.404,2.52
Hispano-Suiza HS.404,2.52
Hispano-Suiza HS.404,2.52
Hispano-Suiza HS.404,2.52
Hispano-Suiza HS-404,2.52
イスパノ・スイザ HS.404,2.52
Działko HS.404,2.52
Hispano-Suiza HS.404,2.52
هيسبانو-سويزا إتش إس.404,2.56
Hispano-Suiza HS.404,2.56
Hispano-Suiza HS.404,2.56
Hispano-Suiza HS.404,2.56
Hispano-Suiza HS.404,2.56
Hispano-Suiza HS-404,2.56
イスパノ・スイザ HS.404,2.56
Działko HS.404,2.56
Hispano-Suiza HS.404,2.56
J-600T Yıldırım,6.1
JL-2,13.0
CSS-N-14,13.0
JL-2,13.0
JL-2 (ミサイル),13.0
JL-2,13.0
Цзюйлан-2,13.0
巨浪-2,13.0
Kugelblitz,5.92
Kugelblitz,5.92
Flakpanzer IV Kugelblitz,5.92
Kugelblitz (arme),5.92
クーゲルブリッツ,5.92
Kugelblitz,5.92
Kugelblitz,5.92
閃電球式防空坦克,5.92
Thales LMM,1.3
Lightweight Multi-role Missile,1.3
Lightweight Multirole Missile,1.3
KAC M110 SASS,1.029
M110 Semi-Automatic Sniper System,1.029
M110 Semi-Automatic Sniper System,1.029
M110 (fucile),1.029
M110 SASS,1.029
M110狙撃銃,1.029
Karabin M110,1.029
M110 (снайперская винтовка),1.029
M110 Semi-Automatic Sniper System,1.029
M110半自動狙擊手系統,1.029
Vetterli M1870,1.34493
Vetterli Mod. 1870,1.34493
M1870 Italian Vetterli,1.34493
Browning M1919,0.963676
Ametralladora Browning M1919,0.963676
Mitrailleuse Browning 1919,0.963676
Browning M1919,0.963676
ブローニングM1919重機関銃,0.963676
Karabin maszynowy Browning M1919,0.963676
Browning M1919,0.963676
Browning M1919,0.963676
Браунинг M1919,0.963676
白朗寧M1919中型機槍,0.963676
M1919 Browning machine gun,0.963676
Mark VI patrol boat,24.9936
Marksman (Flugabwehr),9.3
Marksman anti-aircraft system,9.3
ITPSV 90 Marksman,9.3
神射手防空系統,9.3
أوتوكار أرما,6.4
Otokar Arma,6.4
P-15 Termit,5.8
SS-N-2 Styx,5.8
P-15,5.8
P-15 Termit,5.8
P-15 (ミサイル),5.8
P-15 Termit,5.8
P-15,5.8
П-15 «Термит»,5.8
P-15导弹,5.8
Kentron V4 R-Darter,3.62
R-Darter,3.62
R-Darter,3.62
Rダーター,3.62
RGD-5,0.117
RGD-5 (Handgranate),0.117
RGD-5,0.117
Grenade RGD-5,0.117
RGD-5,0.117
Granat RGD-5,0.117
РГД-5,0.117
RGD-5手榴彈,0.117
Safir (vehicle),3.726
Sanna 77,0.45
تايب 59 (دبابة),6.04
Type 59 tank,6.04
Type 59,6.04
Tipo 59,6.04
Type 59 (carro armato),6.04
Type 59,6.04
59式戦車,6.04
Type 59,6.04
Typ 59,6.04
Type 59,6.04
Тип 59,6.04
59式坦克,6.04
Typ 5 Chi-Ri,7.3
Tipo 5 Chi-Ri,7.3
Type 5 Chi-Ri,7.3
Type 5 Chi-Ri,7.3
五式中戦車,7.3
Typ 5 Chi-Ri,7.3
Чи-Ри,7.3
五式中戰車,7.3
Typ 5 Ke-Ho,4.38
Type 5 Ke-Ho,4.38
Type 5 Ke-Ho,4.38
五式軽戦車,4.38
Type 5 Ke-Ho,4.38
Typ 5 Ke-Ho,4.38
Ке-Хо,4.38
五式輕戰車,4.38
Type 5 To-Ku,10.8
Type 5 To-Ku,10.8
特五式内火艇,10.8
Typ 5 To-Ku,10.8
То-Ку,10.8
Typ 96 (Transportpanzer),6.84
96式装輪装甲車,6.84
Тип 96 (бронетранспортёр),6.84
96式裝甲運兵車,6.84
Type 96 Armored Personnel Carrier,6.84
Type 96 light machine gun,1.07
Typ 96 Leichtes Maschinengewehr,1.07
Ametralladora ligera Tipo 96,1.07
Type 96 (mitragliatrice leggera),1.07
Mitrailleuse légère Type 96,1.07
九六式軽機関銃,1.07
Karabin maszynowy wz. 96,1.07
九六式輕機槍,1.07
Type 96 tank,6.33
Type 96,6.33
Tipo 96,6.33
Type 96 (char),6.33
Type 96 (carro armato),6.33
96式戦車,6.33
Type 96,6.33
Typ 96,6.33
Type 96,6.33
Тип 96,6.33
ZTZ-96主战坦克,6.33
UUM-125 Sea Lance,6.25
UUM-125 Sea Lance,6.25
UUM-125 Sea Lance,6.25
シーランス (ミサイル),6.25
UUM-125 Sea Lance,6.25
UUM-125 Sea Lance,6.25
UUM-44 Subroc,6.7056
UUM-44 Subroc,6.7056
UUM-44 SUBROC,6.7056
UUM-44 SUBROC,6.7056
サブロック (ミサイル),6.7056
UUM-44A SUBROC,6.7056
UUM-44 SUBROC,6.7056
United States Army Squad Designated Marksman Rifle,1.0033
Squad Designated Marksman Rifle,1.0033
SDM-R,1.0033
United States Marine Corps Designated Marksman Rifle,1.118
United States Marine Corps Designated Marksman Rifle,1.118
M14 DMR,1.118
美國海軍陸戰隊精確射手步槍,1.118
VBC-90,5.63
VBC-90突擊炮,5.63
Vetterligewehr,0.93
Fusil Vetterli,0.93
Fusil Vetterli,0.93
Vetterli rifle,0.93
Vetterligewehr,1.26
Fusil Vetterli,1.26
Fusil Vetterli,1.26
Vetterli rifle,1.26
Vetterligewehr,1.3
Fusil Vetterli,1.3
Fusil Vetterli,1.3
Vetterli rifle,1.3
Vetterligewehr,1.325
Fusil Vetterli,1.325
Fusil Vetterli,1.325
Vetterli rifle,1.325
Véhicule Blindé Léger,3.8
Véhicule Blindé Léger,3.8
VBL (Vehicule Blindé Legèr),3.8
Panhard General Defense Véhicule blindé léger,3.8
Panhard VBL,3.8
VBL装甲車,3.8
VBL (бронеавтомобиль),3.8
VBL機動車,3.8
Walther PPQ,0.18
Walther PPQ,0.18
Walther PPQ,0.18
瓦爾特PPQ手槍,0.18
Walther PPQ,0.18
ذو الفقار (دبابة),9.2
Zulfiqar (Panzer),9.2
Zulfiqar (tank),9.2
Zulfiqar,9.2
Zulfiqar,9.2
ゾルファガール,9.2
Zulfiqar,9.2
Zulfiqar,9.2
Zulfiqar,9.2
Зульфикар (танк),9.2
佐勒菲卡爾主戰坦克,9.2
HMS Braak (1795),25.6032
HMS Conqueror (1855),73.152
HMS Conqueror (1855),73.152
Breda 30,1.23
Breda M30,1.23
Breda Mod. 30,1.23
Breda M1930,1.23
ブレダM30軽機関銃,1.23
Karabin maszynowy Breda 30,1.23
Breda Mod. 30,1.23
貝達30輕機槍,1.23
Casspir,6.9
Casspir,6.9
Casspir,6.9
Casspir,6.9
キャスパー装甲兵員輸送車,6.9
Casspir,6.9
Casspir,6.9
Comet (tank),6.5532
Comet (Panzer),6.5532
A34 Comet,6.5532
Comet (carro armato),6.5532
Comet (char),6.5532
コメット巡航戦車,6.5532
Comet (czołg),6.5532
Comet I (A34),6.5532
Комета (танк),6.5532
彗星坦克,6.5532
Cruiser Mk I,5.7912
Cruiser Tank Mk. I (A9),5.7912
Cruiser Mk I,5.7912
Cruiser Mk I,5.7912
巡航戦車 Mk.I,5.7912
Cruiser Mk I,5.7912
Cruiser Mk I (A9),5.7912
Cruiser Mk I,5.7912
Mk I (крейсерский танк),5.7912
Mk.I巡航坦克,5.7912
Cruiser Mk II,5.4864
Cruiser Mk II,5.4864
Cruiser Mk II,5.4864
巡航戦車 Mk.II,5.4864
Cruiser Mk II,5.4864
Cruiser Mk II (A10),5.4864
Cruiser Mk II,5.4864
Mk II (крейсерский танк),5.4864
Mk.II巡航坦克,5.4864
De Lisle carbine,0.89662
De-Lisle-Karabiner,0.89662
Carabina silenciada De Lisle,0.89662
Carabina De Lisle,0.89662
Carabine De Lisle,0.89662
デ・リーズル カービン,0.89662
De Lisle carbine,0.89662
Karabinek De Lisle,0.89662
Де Лизл,0.89662
德利爾卡賓槍,0.89662
FB Vis,0.205
Pistolet Vis wz. 35,0.205
Vis wz. 35,0.205
Radom Vis 35,0.205
Radom Pistolet wz.35 Vis,0.205
ラドムVIS wz1935,0.205
Pistolet Vis wz. 35,0.205
Vis.35,0.205
ViS wz. 35手槍,0.205
اشزريت,6.2
IDF Achzarit,6.2
Achzarit,6.2
Achzarit,6.2
Achzarit,6.2
Achzarit,6.2
アチザリット,6.2
Achzarit,6.2
Ахзарит,6.2
阿奇扎里特裝甲運兵車,6.2
لايتشا بانزرشببادن,4.8
Leichter Panzerspähwagen,4.8
Panzerspähwagen Sd.Kfz. 222,4.8
SdKfz 221 Leichter Panzerspähwagen,4.8
Sd.Kfz. 222,4.8
Leichter Panzerspähwagen,4.8
Sd Kfz 222,4.8
Sd.Kfz. 222,4.8
Leichter Panzerspähwagen,4.8
Sd.Kfz.222,4.8
M45 (missile),11.05
M 45 (MSBS),11.05
Missile M45,11.05
M45 (missile),11.05
M45 (ミサイル),11.05
M-45,11.05
M45 (ракета),11.05
M4 (missile),11.5
M 4 (MSBS),11.5
Missile M4,11.5
M4 (missile),11.5
M4 (ミサイル),11.5
M4 (ракета),11.5
Möbelwagen,5.92
Möbelwagen,5.92
Flakpanzer IV Möbelwagen,5.92
メーベルワーゲン,5.92
Möbelwagen,5.92
Möbelwagen,5.92
Möbelwagen,5.92
家具車式防空坦克,5.92
Ordnance QF 17-pounder,4.2037
Cañón QF de 17 libras,4.2037
Ordnance QF 17 lb,4.2037
Ordnance QF 17 pounder,4.2037
オードナンス QF 17ポンド砲,4.2037
Armata 17-funtowa,4.2037
QF 17 pounder,4.2037
QF 17磅炮,4.2037
أوستويند,5.92
Ostwind,5.92
Ostwind,5.92
Flakpanzer IV Ostwind,5.92
オストヴィント,5.92
Ostwind,5.92
Ostwind,5.92
Ostwind,5.92
東風式防空坦克,5.92
RG-32 Scout,4.97
RG-32 Scout,4.97
RG-32,4.97
Sea Cat,1.48
Sea Cat,1.48
Sea Cat,1.48
Sea Cat,1.48
シーキャット (ミサイル),1.48
Sea Cat,1.48
Sea Cat,1.48
Sea Cat (ЗРК),1.48
Sea Dart,4.4
Sea Dart,4.4
Sea Dart,4.4
Sea Dart,4.4
Sea Dart (missile),4.4
シーダート (ミサイル),4.4
Sea Dart,4.4
Sea Dart,4.4
Sea Dart (ЗРК),4.4
海鏢飛彈,4.4
Sturmgeschütz III,6.85
Sturmgeschütz III,6.85
Sturmgeschütz III,6.85
Sturmgeschütz III,6.85
Sturmgeschütz III,6.85
III号突撃砲,6.85
Sturmgeschütz III,6.85
Sturmgeschütz III,6.85
Sturmgeschütz III,6.85
StuG III,6.85
三號突擊砲,6.85
Type 69/79 main battle tank,6.24
Tipo 69/79,6.24
Type 69/79,6.24
Type 69/79 (carro armato),6.24
69/79式戦車,6.24
Typ 69,6.24
Тип 69,6.24
Type 69/79,6.24
69式坦克,6.24
UGM-96 Trident I,10.2
UGM-93A Trident I C-4,10.2
UGM-96A Трайдент I С-4,10.2
Vektor R4,1.005
Fusil R4,1.005
Vektor R4/R5/R6,1.005
ベクター R4,1.005
Karabin Vektor R4,1.005
Vektor R4,1.005
R4突擊步槍,1.005
Walther WA 2000,0.905
Walther WA 2000,0.905
Walther WA 2000,0.905
Walther WA 2000,0.905
Walther WA 2000,0.905
ワルサーWA2000,0.905
WA2000,0.905
Karabin Walther WA 2000,0.905
Walther WA 2000,0.905
瓦爾特WA 2000狙擊步槍,0.905
Wirbelwind,5.89
Wirbelwind,5.89
Flakpanzer IV Wirbelwind,5.89
ヴィルベルヴィント,5.89
Wirbelwind,5.89
Wirbelwind,5.89
Wirbelwind,5.89
Wirbelwind,5.89
旋風式防空坦克,5.89
أم2 برادلي,6.55015
M2/M3 Bradley,6.55015
M2/M3 Bradley,6.55015
M2/M3 Bradley,6.55015
M2/M3 Bradley,6.55015
M2ブラッドレー歩兵戦闘車,6.55015
M2 Bradley,6.55015
M2 Bradley,6.55015
M2 Bradley,6.55015
M2布雷德利,6.55015
M2 Bradley,6.55015
Ch'ŏnma-ho,6.63
Ch'onma-ho,6.63
Chonma-ho,6.63
Ch'ŏnma-ho,6.63
Ch'ŏnma-ho,6.63
Ch'ŏnma-ho,6.63
Чхонмахо,6.63
天馬虎主戰坦克,6.63
Sd.Kfz. 10,4.75
Sd.Kfz. 10,4.75
SdKfz 10,4.75
Sd.Kfz. 10,4.75
Sd Kfz 10,4.75
Sd.Kfz.10,4.75
SdKfz 10,4.75
"10,5-cm-Flak 38",6.648
10.5 cm FlaK 38,6.648
"10,5 cm FlaK 38",6.648
10.5 cm FlaK 38,6.648
"10,5 cm FlaK 39",6.648
"10,5 cm FlaK 38/39",6.648
152-mm-Kanone M1910/34,8.1
152 mm gun M1910/34,8.1
152 mm M1910/34,8.1
M1910/34 152mmカノン砲,8.1
152 mm armata wz. 1910/34,8.1
152-мм пушка образца 1910/34 годов,8.1
152-mm-Haubitze M1909/30,5.84
152 mm howitzer M1909/30,5.84
152 mm M1909/30,5.84
M1909/30 152mm榴弾砲,5.84
152 mm haubica wz. 1909,5.84
152-мм гаубица образца 1909/30 годов,5.84
"2,8-cm-schwere Panzerbüchse 41",2.69
2.8 cm sPzB 41,2.69
"2,8 cm sPzB 41",2.69
"2,8-cm sPzB 41",2.69
2.8cm sPzB41,2.69
"2,8 cm sPzB 41",2.69
"Тяжёлое противотанковое ружьё 2,8 см PzB 41",2.69
"8,8-cm-PaK 43",6.4
8.8 cm Pak 43,6.4
8.8 cm Pak 43,6.4
"8,8 cm PaK",6.4
"8,8 cm PaK 43",6.4
8.8 cm PaK 43,6.4
PaK 43,6.4
"8,8 cm PaK 43",6.4
Pak 43,6.4
Pak 43反坦克炮,6.4
AK-102,0.824
AK-102,0.824
AK-102突击步枪,0.824
Accuracy International AW50,1.42
Karabin Accuracy International AW50,1.42
Accuracy International AW50,1.42
精密國際AW50狙擊步槍,1.42
Argus Fernfeuer,9.5
BA-21,4.2672
BA-21,4.2672
БА-21,4.2672
BL 16 inch Mk I naval gun,18.8468
BL 16″/45 Mk I,18.8468
تيرمينيتر,7.2
BMPT (Panzer),7.2
BMP-T,7.2
BMPT Terminator,7.2
BMPT (véhicule militaire),7.2
BMP-T,7.2
BMPT,7.2
Объект 199,7.2
BMPT,7.2
بي تي أر-تي,6.45
BTR-T,6.45
BTR-T,6.45
BTR-T,6.45
BTR-T,6.45
BTR-T,6.45
БТР-Т,6.45
CZ 100,0.177
CZ 100,0.177
Colt M1861 Navy,0.3302
Colt 1861 Navy,0.3302
Rewolwer Colt Navy model 1861,0.3302
دايوو ك3,1.03
Daewoo K3,1.03
Daewoo K3,1.03
Daewoo Precision Industries K3,1.03
Daewoo K3,1.03
K3 (分隊支援火器),1.03
Karabin maszynowy Daewoo K3,1.03
Daewoo K3,1.03
大宇K3輕機槍,1.03
Daewoo K4,1.072
Daewoo Precision Industries K4,1.072
大宇K4自動榴彈發射器,1.072
Daewoo K7,0.61
Daewoo Telecom K7,0.61
Pistolet maszynowy Daewoo K7,0.61
Daewoo K7,0.61
大宇K7衝鋒槍,0.61
Denel Y3 AGL,0.844
Granatnik Vektor Y3,0.844
Vektor Y3 AGL,0.844
丹尼爾Y3自動榴彈發射器,0.844
Erma EMP 44,0.72
EMP 44,0.72
EMP44,0.72
Pistolet maszynowy EMP 44,0.72
EMP44衝鋒槍,0.72
FX-05,1.087
FX-05 Xiuhcoatl,1.087
FX-05 Xiuhcoatl,1.087
FX-05,1.087
Karabin FX-05 Xiuhcoatl,1.087
FX-05突擊步槍,1.087
HMS Fantome (1810),28.6512
HMS Royal George (1788),57.912
HMS Royal George (1788),57.912
HMS Royal George (1788),57.912
HK417,0.885
Heckler & Koch HK417,0.885
Heckler & Koch HK417,0.885
HK417,0.885
Heckler & Koch HK417,0.885
H&K HK417,0.885
Karabin HK417,0.885
HK417,0.885
HK417,0.885
HK417自動步槍,0.885
HK69,0.683
Heckler & Koch HK69A1,0.683
Heckler & Koch HK69A1,0.683
HK 69A1,0.683
H&K HK69,0.683
Granatnik HK69A1,0.683
HK69,0.683
HK69榴彈發射器,0.683
Hi-Point C-9 and C-9 Comp,0.17145
M8 Scott,4.9784
M8 Scott,4.9784
Howitzer Motor Carriage M8,4.9784
M8 (semovente),4.9784
M8 Howitzer Motor Carriage,4.9784
M8 75mm自走榴弾砲,4.9784
M8 Scott,4.9784
M8 Scott,4.9784
M8 (САУ),4.9784
M8自走炮,4.9784
Ishapore 2A1 rifle,1.1303
LRAC F1,1.17
LRAC F1,1.17
LRAC F1,1.17
LRAC F1,1.17
LRAC F1,1.17
Landsverk L-62 Anti II,5.32
Luftvärnskanonvagn L-62 Anti II,5.32
Luftvärnskanonvagn L-62 Anti II,5.32
L-62アンティ II,5.32
Landsverk Anti II,5.32
Landsverk L-62 Anti II,5.32
