http://dbpedia.org/ontology/Weapon,http://dbpedia.org/ontology/length
AIR-2 Genie,2.7432
AIR-2 (ミサイル),2.7432
AIR-2 Genie,2.7432
AIR-2 Genie,2.7432
AIR-2 Genie,2.7432
Beretta 9000,0.168
Beretta 9000,0.168
Beretta 9000 S,0.168
Beretta 9000,0.168
Beretta 9000 S,0.168
貝瑞塔9000手槍,0.168
Bradley Fighting Vehicle,6.55
Bradley (VCI),6.55
AEC Mk I Deacon,6.4008
Deacon (artillery),6.4008
Deacon (semovente),6.4008
Deacon (artillerie),6.4008
ディーコン対戦車自走砲,6.4008
Deacon (artillerie),6.4008
Deacon,6.4008
Deacon,6.4008
主祭式自行火炮,6.4008
Dreyse M1907,0.16
Pistolet Dreyse M1907,0.16
Dreyse M1907,0.16
Dreyse M1907,0.16
Dreyse-Zündnadelgewehr,1.42
Dreyse needle gun,1.42
Fusil Dreyse,1.42
Fusil Dreyse,1.42
Fucile Dreyse,1.42
ドライゼ銃,1.42
Karabin Dreysego wzór 1849,1.42
Fuzil Dreyse,1.42
"Винтовка Дрейзе, модель 1849",1.42
FARA 83,1.0
FARA 83,1.0
FARA 83,1.0
FARA 83,1.0
Karabin FMAP FARA 83,1.0
FARA 83,1.0
FARA 83,1.0
FARA-83突擊步槍,1.0
Wladimirow KPW,1.98
KPV heavy machine gun,1.98
Ametralladora pesada KPV,1.98
KPV (mitragliatrice),1.98
KPV,1.98
KPV 重機関銃,1.98
Karabin maszynowy KPW,1.98
Крупнокалиберный пулемёт Владимирова,1.98
KPV,1.98
KPV重機槍,1.98
صاروخ لورا,5.0
LORA (missile),5.0
LORA (missile),5.0
LORA (pocisk),5.0
LORA (ОТРК),5.0
Landmaster,10.668
Johnson M1941 (Maschinengewehr),1.0668
M1941 Johnson machine gun,1.0668
Ametralladora Johnson M1941,1.0668
M41 Johnson,1.0668
ジョンソンM1941軽機関銃,1.0668
Karabin maszynowy Johnson M1941,1.0668
Metralhadora Johnson M1941,1.0668
M1941輕機槍,1.0668
