http://dbpedia.org/ontology/Location,http://dbpedia.org/ontology/populationTotal
Puch bei Weiz,2152
Liebenau (Alta Áustria),1800
Saint-Luc (Valais),1994
"Iskra, Kuyavian-Pomeranian Voivodeship",108
Wilkowo Nowowiejskie,171
"Municipio de Pleasant Valley (condado de Fayette, Iowa)",1008
Dompierre-sur-Nièvre,147
Río Segundo (cidade),21850
Coin-lès-Cuvry,700
Torrente de Cinca,994
Němčice nad Hanou,1995
"Zano, Bam",930
Langeneß,123
Saint-Sauveur (Finistère),722
贝恩多夫 (莱茵兰-普法尔茨州),540
Le Plessis-Hébert,414
Perreux (Loire),2212
Крепи (Эна),1943
"Tila, Chiapas",68167
Mée,191
Kirchdorf an der Krems,4237
Sankt Martin am Wöllmißberg,831
Ahillones,1048
Taufkirchen an der Trattnach,2016
Dommartin-le-Saint-Père,267
"Waltham Township, LaSalle County, Illinois",468
Le Plessis-Pâté,3987
Nandgaon (Uttar Pradesh),9877
Soisy-sur-École,1392
Neuenkirchen (Landhagen),2419
Tales,864
Montagny-près-Louhans,457
Bevern (Holstein),567
Boissy-lès-Perche,537
"Siget, Novi Kneževac",252
Ист (остров),181
"Brzeziny, Biłgoraj County",167
Aappilattoq (Qaasuitsup),182
Trou-Bonbon,6848
Padma (Hazaribagh),42571
Vigneux-de-Bretagne,5073
伦塔,943
Saint-Sauveur (Gironde),1289
Morašice (district de Znojmo),245
Gournay-en-Bray,6095
Tusk-e Sofla,699
Suri (Birbhum),68668
Gmund am Tegernsee,6229
Сен-Сатюрнен-де-Лен,350
Königsfeld im Schwarzwald,6322
Mahou (Mali),16976
"Pleasant Valley Township, Dodge County, Nebraska",200
Lolme,140
Marsac (Creuse),710
Úmbria,923763
"Bryn Mawr, California",203
"Municipio de Cedar (condado de Nance, Nebraska)",106
"Mesta, Bulgaria",248
Biskupice (Pobiedziska),1132
Strombeek-Bever,11304
"La Forge, Vosges",566
Gans,184
Barzan,435
Ahigal de Villarino,42
"Municipio de Braceville (condado de Grundy, Illinois)",6742
"Carnet, Manche",446
Pommiers (Loira),392
Luzino,7202
Marey-lès-Fussey,66
El Alia,27808
"Offham, Kent",740
La Celle (Allier),408
