http://dbpedia.org/ontology/TelevisionShow,http://dbpedia.org/ontology/capacity
ČD Class 810,57
ICE 1,67
CFL Class 2200,345
ICE 1,713
ICE-1列車,23
ICE 1,25
ICE-1列車,51
RATP-Baureihe MS 61,291
TCDD HT65000,400
ICE 1,49
CAF Hizlitren,423
Treno Servizio Regionale,96
Locomotiva DB 401,770
RATP MS 61,88
ICE 1,24
SJ Y6,36
SL X1,198
ATM Class 4600 and 4700,138
Tram ATM serie 4900,63
ICE 1,70
SJ X16,56
ICE 1,35
Locomotiva DB 401,16
CFL 2300,28
ACMU,133
ICE 1,23
ICE 1,45
Рельсовый автобус серии 810,41
M1/M3 (railcar),118
ICE 1,23
Baureihe 401,49
ICE 1,16
CSR EMU (Argentina),72
