http://dbpedia.org/ontology/Organisation,http://dbpedia.org/ontology/numberOfStudents
Université normale de Guangxi,23757
Centre fédéral d'éducation technologique Celso Suckow da Fonseca,11128
Rydes Hill Preparatory School,196
Simon Fraser University,34601
Pabna University of Science & Technology,2544
St. Mark Catholic High School (Ottawa),1131
Fruitdale High School,505
Rydal Penrhos,185
Birla Public School,1132
"Zahira College, Colombo",7719
University of Agriculture (Faisalabad),15523
UC Davis College of Biological Sciences,5119
Hyderabad Public School,2837
Instituto de Tecnologia da Califórnia,2214
Woodhaven-Brownstown School District,4847
Central State University,1943
Pontiac Township High School,884
معهد كاليفورنيا للتقنية,2522
Lejeune High School,498
South Anchorage High School,1314
Fairfield Warde High School,1290
مدرسة التكامل الدولية,1580
Newport High School (Pennsylvania),422
Collège Montmorency,7637
Heinrich-von-Gagern-Gymnasium,945
Diné College,1950
Manuel Dominguez High School,2843
Томский государственный архитектурно-строительный университет,7077
Universidad del Algarve,9471
Immanuel Christian School (Winnipeg),184
École nationale de la magistrature,560
Barrie North Collegiate Institute,1453
Misr University for Science & Technology,16769
Sint-Maartenscollege,1416
University of Montenegro,22395
Valley Springs High School,268
Brandon Valley School District,2706
Universität Hasselt,5547
Universidad Estatal de Ingeniería de Armenia,9946
Largo High School (Maryland),1114
Preston High School (Idaho),684
Benzie Central High School,490
Lake Park High School,2789
ISCTE – University Institute of Lisbon,8454
Политехнический университет Бухареста,25865
Newport Harbor High School,2305
阿爾卡拉大學,22173
Scott Christian University,529
Mitchell County High School,485
Université Pierre et Marie Curie,30584
المدرسة الأمريكية الدولية (الرياض),1787
Staatliche Pädagogische Universität Tomsk,7100
Palos Verdes Peninsula High School,2610
"Northwestern High School (Maple, Wisconsin)",385
Forest Hill Community High School,1898
Boyd-Buchanan School,794
Université de La Rioja,8025
Calderside Academy,1328
Universidad Félix Houphouët-Boigny,47724
Grape Creek High School,273
Kermit Independent School District,1172
Universidad de Túnez,24371
"University of Technology, Mauritius",4394
Edgewood Senior High School,554
Burns High School (Oregon),365
Alexander-von-Humboldt-Gymnasium Konstanz,1082
塞麦尔维斯大学,10748
Белорусский государственный университет информатики и радиоэлектроники,18380
John Cabot Catholic Secondary School,1009
The Elizabethan Academy,1184
كلية الأطباء والجراحين بجامعة كولومبيا,719
Rockford University,1330
Carbondale Area School District,1427
Gonzaga University School of Law,456
Belgrade-Brooten-Elrosa High School,349
Sujaul Senior Fazil Madrasha,787
North Lakhimpur College,3717
Oasis Academy John Williams,802
Purdue University,41335
Université de Tsukuba,17427
Uniwersytet Czarnogóry,21422
Université d'État de l'Arizona,53859
"Campion College, Regina",973
St. Lawrence's Boys School,1097
San Bernardino Valley College,12717
"Presidency College, Bangalore",4337
