http://dbpedia.org/ontology/TelevisionShow,http://dbpedia.org/ontology/numberOfEpisodes
La loba herida,217
فيفي والزهرات الصغيرات,109
Rookie Blue,74
Prison Break,80
فيردي (مسلسل),52
暴坊將軍,830
Marvel’s Daredevil,26
Family Matters (Singaporean TV series),21
Ek Mahal Ho Sapno Ka (TV series),982
Alias Smith und Jones,53
Believe (telessérie),13
Martha habla,101
Better Call Saul,21
Lasciate in pace i koala,27
Bottle Boys,14
Celebrity Duets,9
Contra viento y marea,137
The Farm (UK TV series),20
"Spenser, detective privado",4
"Gabriela, giros del destino",118
Mia sorella Sam,42
Hero: 108,103
Caméra Café,691
The Cuckoo Waltz,24
Once Upon a Time,127
¡Vivan los niños!,138
Gwiezdne wrota: Wszechświat,38
Pulitzer Prize Playhouse,60
Canavial de Paixões,118
أرض المعركة (مسلسل),13
Armia tatuśka,77
The Family (2011 TV series),8
超人力霸王葛雷,12
Le avventure di Super Mario,24
Hatch's Mill,11
48 Hours,973
Mary Kay and Johnny,293
Sons of Tucson,14
Conflict (serie televisiva),19
Lancer,49
Majority Rules – Becky regiert die Stadt,26
Danny Phantom,46
Towser,24
Laguna Beach MTV,42
Fortitude (TV series),13
A Gifted Man,16
"Paradise, znaczy raj",57
名作背後,26
Entertainers with Byron Allen,20
Génial Génie,78
Open House with Gloria Hunniford,135
Quatermass Conclusion - La Terra esplode,4
The War at Home,46
Spider-Man and His Amazing Friends,26
والاس وغروميت,28
Turno di notte (TV series),14
The Real World: D.C.,14
Legenda o Białym Kle,27
The Strip (NZ TV series),40
I'm in the Band,44
Bez przeszłości,28
PitchMen,18
Szczenięce lata Clifforda,37
Duckman,75
Vier gegen Z,39
Go Girls,61
Pole Position (série),14
Misión SOS,123
King Arthur's Disasters,27
Conflictos de un médico,20
Gilmore Girls,164
となりのサインフェルド,179
The Game (U.S. TV series),151
My Kind of Country (TV series),13
談判專家 (電視劇),33
Real Kung Fu,21
Le Rêve de Diana,2750
Cheonbeon-ui immatchum,51
Amorcito corazón,179
Aquarius (serie de televisión),24
Paul Temple (serie televisiva),58
Street Fighter (serie televisiva),28
I Love Money (season 4),12
Law & Order: Trial by Jury,13
The Killing (serie televisiva 2007),44
The Carrie Diaries (Fernsehserie),25
The Pressure Cooker,1
'Orrible,8
Full Swing (game show),8
Cake Boss,200
Дикий ангел (телесериал),269
ラマだった王様 学校へ行こう!,46
Cops: L.A.C.,12
Friday Night Lights (televisieserie),74
La piccola grande Nell,131
كلارنكس,85
The Real World: Key West,22
Skunks Fu,28
Звёздные врата: Бесконечность,26
James May's Toy Stories,4
القنفذ سونيك ( سلسلة كرتون) 1993,26
Homemade Jam,3
Verbotene Liebe (serial telewizyjny),4485
Parks and Recreation,123
Delocated,28
Parks and Recreation,127
グッドラックチャーリー,106
Birds of a Feather,119
La famiglia Brady,119
List of Bakugan Battle Brawlers episodes,58
Assaulted Nuts (TV series),7
Samantha oups!,336
City (opera mydlana),342
Mi pecado,101
暗黒の戦士 ハイランダー,123
Junior MasterChef,40
Stinky i Jake przedstawiają,68
Fashion Police,203
Мастера ужасов,27
أورسن وأوليفيا,26
The Lodge (Fernsehserie),4
По правде говоря,10
Rivalen der Rennbahn,10
ビッグ 〜愛は奇跡〜,15
El escuadrón de superhéroes,50
Убийство (телесериал),45
Chiara e gli altri,25
Jenny's War,4
Review (Fernsehserie),18
Empress Wu (1984 TV series),41
Dave and Steve's Video Game Explosion,13
李小龍傳,29
Żona dla taty,130
Country House Rescue,38
Alegrijes y rebujos,122
Los ángeles de Charlie (serie de televisión de 2011),8
Two Pints of Lager and a Packet of Crisps,75
T.I.'s Road to Redemption,9
Le Cartel,6
Sergent Anderson,100
Graceland (serial telewizyjny),34
Conan (série télévisée),21
Dave's One Night Stand,22
尋,18
Monday Monday,7
The New Adventures of Flash Gordon,31
Life (serie de televisión),30
HGTV Star,57
Kommissar Rex,106
Воздушные бои (телесериал),28
Magic Touch of Fate,19
ラスト・スキャンダル,15
Bracia i siostry,112
Hergé's Adventures of Tintin,101
Brüder (Fernsehserie),39
Open House (TV series),22
Cómplices al rescate,131
スパイダーライダーズ 〜オラクルの勇者たち〜,54
Sons of Tucson,12
I ragazzi del coro (serie televisiva),28
Były sobie odkrycia,24
Total Wipeout,13
Thunder (TV series),13
The Loop (Australian TV series),243
Братья Доннелли,12
Royal Pains,97
Yellowstone (TV series),3
Homewrecker,8
Los hermanos Venture,70
Men of a Certain Age,19
Catalina i Sebastian,127
Mystery 6,6
Noddy en el país de los juguetes,56
Jack's Place,17
Психовилль,15
Muchacha de barrio,210
Fire høytider,5
Touch (serie televisiva),25
Le Dino Train,86
The Glee Project,21
Les Belles Histoires des pays d'en haut,480
Monster Allergy,52
Aussie Ladette to Lady,13
Уоллес и Громит,1
Children's Ward,146
"Willy, il principe di Bel-Air",162
Twarda gra,24
私立探偵スペンサー,65
Ultraman Leo,48
Aşk-ı Memnu,71
لفل أب (مسلسل),36
Turnabout (TV series),7
Новые приключения старой Кристин,101
Falcon Crest,225
Docteur Marcus Welby,172
Farscape : Guerre pacificatrice,2
Игрок (телесериал),9
Dream Stuffing,10
Ruri no shima,10
Bouli de sneeuwpop,37
Eclipse (telenovela),30
